,Asm,→I,MP,∧I,∧E,∨I,∨E,¬I,⊥E
Asm,0.22916666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.5,0.5,0.3333333333333333
→I,0.3333333333333333,0.4583333333333333,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.5
MP,0.0,0.6666666666666666,0.3125,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666
∧I,0.0,0.3333333333333333,0.16666666666666666,0.375,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666
∧E,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.2916666666666667,0.16666666666666666,0.5,0.6666666666666666,0.5
∨I,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.5,0.6666666666666666,0.16666666666666666
∨E,0.5,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.5,0.5,0.6666666666666666,1.0,1.0
¬I,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7291666666666666,1.0
⊥E,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,1.0,1.0,0.6041666666666666
